miRNA_id	Chromosome	Strand	Start	End	panTro6	gorGor6	ponAbe3	macFas5	calJac3	mm39	rn6	canFam5	bosTau9	galGal6
hsa-mir-1185-1	chr14	+	101042977	101043062	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1185-2	chr14	+	101044198	101044283	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1193	chr14	+	101030052	101030129	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
hsa-mir-1197	chr14	+	101025564	101025651	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1199	chr19	+	14073361	14073479	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1200	chr7	-	36919357	36919432	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1202	chr6	+	155946797	155946879	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1203	chr17	-	48156427	48156511	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
hsa-mir-1204	chr8	+	127795962	127796028	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1205	chr8	+	127960633	127960695	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
hsa-mir-1206	chr8	+	128008898	128008956	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1207	chr8	+	128049152	128049238	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1208	chr8	+	128150116	128150188	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12113	chr4	+	11783178	11783248	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12114	chr22	+	50407442	50407524	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12115	chr4	+	22515312	22515385	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12116	chr1	+	179803924	179804025	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12117	chr9	+	33108692	33108765	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12118	chr5	+	173303730	173303817	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12119	chr7	+	99409172	99409264	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12120	chrY	+	13479177	13479266	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12121	chr14	+	104865314	104865411	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-12122	chr20	+	49863859	49863953	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12123	chr8	+	79332188	79332274	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12124	chr3	+	128846808	128846908	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12125	chr5	+	168165845	168165929	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-12126	chr9	+	130241387	130241488	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12127	chr3	+	10280351	10280452	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12128	chr16	+	85207796	85207895	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12129	chrX	+	153335462	153335537	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12130	chr5	+	116255743	116255834	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12131	chr6	+	151102675	151102776	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12132	chr1	+	61846075	61846176	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12133	chr1	+	94543702	94543779	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12135	chr15	+	73299910	73299979	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-12136	chr1	-	632615	632685	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-122	chr18	+	58451074	58451158	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
hsa-mir-1224	chr3	+	184241405	184241489	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1225	chr16	-	2090195	2090284	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
hsa-mir-1226	chr3	+	47849555	47849629	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1227	chr19	-	2234062	2234149	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1228	chr12	+	57194504	57194576	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1229	chr5	-	179798278	179798346	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-122b	chr18	-	58451080	58451152	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
hsa-mir-1231	chr1	+	201808611	201808702	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1233-1	chr15	-	34382069	34382150	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1233-2	chr15	-	34528290	34528371	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1234	chr8	-	144400086	144400165	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1236	chr6	-	31956839	31956940	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1237	chr11	+	64368602	64368703	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1238	chr19	+	10552122	10552204	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-124-1	chr8	-	9903388	9903472	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-124-2	chr8	+	64379149	64379257	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-124-3	chr20	+	63178500	63178586	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-1243	chr4	+	113106863	113106955	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1244-1	chr2	+	231713314	231713398	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1244-2	chr5	+	118974586	118974670	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1244-3	chr12	-	9239467	9239551	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1244-4	chr12	+	12111952	12112036	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1245a	chr2	+	188978092	188978161	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1245b	chr2	-	188978093	188978161	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1246	chr2	-	176600980	176601052	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1247	chr14	-	101560287	101560422	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
hsa-mir-1248	chr3	+	186786672	186786777	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1249	chr22	-	45200954	45201019	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1250	chr17	-	81133196	81133308	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1251	chr12	+	97491909	97491978	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1252	chr12	+	79419257	79419321	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1253	chr17	-	2748078	2748182	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1255a	chr4	-	101330302	101330414	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1255b-1	chr4	-	36426366	36426428	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1255b-2	chr1	+	167998660	167998726	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hsa-mir-1256	chr1	-	20988314	20988432	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1257	chr20	-	61953546	61953662	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1258	chr2	-	179860836	179860908	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-125a	chr19	+	51693254	51693339	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-125b-1	chr11	-	122099757	122099844	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-125b-2	chr21	+	16590237	16590325	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-126	chr9	+	136670602	136670686	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-1260a	chr14	+	77266218	77266290	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1260b	chr11	+	96341438	96341526	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
hsa-mir-1261	chr11	-	90869121	90869202	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1262	chr1	-	68183518	68183610	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1263	chr3	-	164171471	164171556	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1264	chrX	+	114652655	114652723	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1265	chr10	+	14436576	14436661	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1266	chr15	-	52277117	52277200	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1267	chr13	-	107531171	107531248	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1268a	chr15	-	22225278	22225329	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1268b	chr17	+	80098828	80098877	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1269a	chr4	+	66276824	66276928	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1269b	chr17	-	12917268	12917342	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-127	chr14	+	100882979	100883075	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1270	chr19	-	20399272	20399354	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1271	chr5	+	176367946	176368031	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1272	chr15	-	64762387	64762515	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1273c	chr6	+	154853360	154853436	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1273h	chr16	+	24203116	24203231	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1275	chr6	-	33999972	34000051	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1276	chr15	-	85770496	85770578	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1277	chrX	+	118386394	118386471	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1278	chr1	+	193136503	193136583	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1279	chr12	-	69273157	69273218	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
hsa-mir-128-1	chr2	+	135665397	135665478	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-128-2	chr3	+	35744476	35744559	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-1281	chr22	+	41092513	41092566	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1282	chr15	-	43793659	43793759	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-1283-1	chr19	+	53688481	53688567	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1283-2	chr19	+	53758232	53758318	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1284	chr3	-	71541970	71542089	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
hsa-mir-1285-1	chr7	-	92204015	92204098	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1285-2	chr2	-	70252918	70253005	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1286	chr22	-	20249134	20249211	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1287	chr10	-	98395218	98395307	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1288	chr17	+	16282014	16282088	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1289-1	chr20	-	35453954	35454097	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1289-2	chr5	-	133427596	133427706	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-129-1	chr7	+	128207872	128207943	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
hsa-mir-129-2	chr11	+	43581394	43581483	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hsa-mir-1290	chr1	-	18897071	18897148	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1291	chr12	-	48654444	48654530	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1292	chr20	+	2652777	2652842	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1293	chr12	-	50234142	50234212	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1294	chr5	+	154347106	154347247	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
hsa-mir-1295a	chr1	-	171101728	171101806	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
