"","seqnames","start","end","width","strand","type","log_kd","p3.score","note","ORF","symbol.x","V3","logFC","logCPM","LR","PValue","FDR","medianLength","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.non-canonical","symbol.y","gene_id"
"19944","ENST00000479961",204,211,8,"*","8mer",-5662,0,"-",TRUE,"ST20-MTHFS","ENSG00000259332.3",-0.0454143463163827,2.84390656715075,0.0333408248417442,0.85511604241466,1,553.8565,"ST20-MTHFS",-0.590135458517757,0,0,0,0,1,0,"ST20-MTHFS","ENSG00000259332"
"20363","ENST00000494999",198,205,8,"*","8mer",-5662,0,"-",TRUE,"ST20-MTHFS","ENSG00000259332.3",0.113085390820208,1.57706221635316,0.116113567879826,0.733288474097511,1,322.257,"ST20-MTHFS",-0.590135458517757,0,0,0,0,1,0,"ST20-MTHFS","ENSG00000259332"
"21733","ENST00000525681",3364,3371,8,"*","8mer",-5662,0,"-",FALSE,"EIF4G2","ENSG00000110321.19",-0.208065385104327,8.56802858883488,1.01976937464921,0.312573720371098,1,3275.601,"EIF4G2",-1.13359388415673,1,0,0,0,0,0,"EIF4G2","ENSG00000110321"
"23736","ENST00000559722",363,370,8,"*","8mer",-5662,0,"-",TRUE,"MTHFS","ENSG00000136371.11",-0.139034643583497,3.07945510150815,0.475198839083442,0.490605131720642,1,626.1635,"MTHFS",-0.590135458517757,0,0,0,0,1,0,"MTHFS","ENSG00000136371"
"29232","ENST00000674129",1016,1023,8,"*","8mer",-5662,0,"-",FALSE,"SNCA","ENSG00000145335.17",0.064675365341138,3.73659296078578,0.117202926119316,0.732088167122631,1,1478.3565,"SNCA",-1.13359388415673,1,0,0,0,0,0,"SNCA","ENSG00000145335"
"789","ENST00000238875",2866,2873,8,"*","8mer",-5597,0,"-",FALSE,"LGALSL","ENSG00000119862.13",0.0540419757996859,4.48468020683428,0.165620345104911,0.684033844481032,1,2939.2005,"LGALSL",-1.11729532869676,1,0,0,0,0,0,"LGALSL","ENSG00000119862"
"2078","ENST00000262461",4175,4182,8,"*","8mer",-5597,0,"-",FALSE,"SLC12A2","ENSG00000064651.14",-0.212929136952695,1.55155834079308,0.482826318428859,0.487144891972873,1,5124.19,"SLC12A2",-1.29062401590132,1,0,1,0,0,0,"SLC12A2","ENSG00000064651"
"3592","ENST00000285243",792,799,8,"*","8mer",-5597,2,"-",TRUE,"ANKRD40","ENSG00000154945.7",0.154192049147637,2.48317474589319,0.474029824093003,0.491139079326952,1,3771.2865,"ANKRD40",-1.23425022063669,0,2,0,0,1,0,"ANKRD40","ENSG00000154945"
"3629","ENST00000286307",2317,2324,8,"*","8mer",-5597,0,"-",FALSE,"LSM11","ENSG00000155858.6",0.0302134078813977,4.50877662090776,0.0643465323053212,0.799753461863719,1,5849.8775,"LSM11",-1.19836596608137,1,0,1,0,0,0,"LSM11","ENSG00000155858"
"5988","ENST00000321341",8328,8335,8,"*","8mer",-5597,0,"-",FALSE,"ME2","ENSG00000082212.13",0.101631741454201,1.92502529796409,0.0874089986353601,0.767497286785652,1,7428.446,"ME2",-1.11729532869676,1,0,0,0,0,0,"ME2","ENSG00000082212"
"6008","ENST00000321556",2432,2439,8,"*","8mer",-5597,0,"-",FALSE,"PINK1","ENSG00000158828.8",0.160661985047779,6.84657746704096,3.30154897295049,0.069214586417879,1,2278.917,"PINK1",-1.25284810680818,1,0,1,0,1,0,"PINK1","ENSG00000158828"
"16995","ENST00000423059",6701,6708,8,"*","8mer",-5597,0,"-",FALSE,"THSD7A","ENSG00000005108.17",0.0799388597179703,5.46348055401256,0.15261798881958,0.696045964213824,1,9115.794,"THSD7A",-1.67002714874616,1,2,1,0,3,0,"THSD7A","ENSG00000005108"
"935","ENST00000244711",1313,1320,8,"*","8mer",-5554,0,"-",FALSE,"MEA1","ENSG00000124733.5",0.284803145029821,3.35476910785165,0.744963990543917,0.388075360213931,1,1794.77,"MEA1",-1.13546394864493,1,0,0,0,1,0,"MEA1","ENSG00000124733"
"5830","ENST00000319231",5992,5999,8,"*","8mer",-5554,0,"-",FALSE,"KCNK10","ENSG00000100433.16",0.0613039948462044,3.04576406062421,0.0732433700346409,0.786671678990541,1,7408.928,"KCNK10",-1.9747734622956,1,3,0,0,0,0,"KCNK10","ENSG00000100433"
"15369","ENST00000401592",1138,1145,8,"*","8mer",-5554,0,"-",TRUE,"SUN1","ENSG00000164828.18",-0.312204105553398,2.5427481572868,0.41588110566016,0.518999480759693,1,3721.03,"SUN1",-0.741181724600876,0,0,1,0,2,0,"SUN1","ENSG00000164828"
"189","ENST00000199764",1280,1287,8,"*","8mer",-5548,0,"-",FALSE,"CEACAM6","ENSG00000086548.9",0.223018575181147,3.26105234636921,0.226867480504948,0.633856335468929,1,2308.6115,"CEACAM6",-1.1046322387337,1,0,0,0,0,0,"CEACAM6","ENSG00000086548"
"505","ENST00000224140",3316,3323,8,"*","8mer",-5548,0,"-",TRUE,"SETX","ENSG00000107290.14",0.0531598516626405,4.05835914477531,0.126975572750885,0.721588712827545,1,10278.1075,"SETX",-0.551023626652905,0,0,0,0,1,0,"SETX","ENSG00000107290"
"1888","ENST00000261819",493,500,8,"*","8mer",-5548,0,"-",TRUE,"ANAPC5","ENSG00000089053.13",0.0541570524859368,6.01011876103559,0.28312926691245,0.59465748129761,1,2361.9025,"ANAPC5",-0.551023626652905,0,0,0,0,1,0,"ANAPC5","ENSG00000089053"
"1912","ENST00000261900",5671,5678,8,"*","8mer",-5548,0,"-",FALSE,"CCNT1","ENSG00000129315.11",0.0835658432718682,2.15938606233746,0.0769025530926948,0.781539704769164,1,6087.989,"CCNT1",-2.03235347187084,2,2,0,0,1,0,"CCNT1","ENSG00000129315"
"2580","ENST00000265284",664,671,8,"*","8mer",-5548,0,"-",TRUE,"TLE4","ENSG00000106829.20",-0.0942126077912585,2.2330766469902,0.0493699945888242,0.824163178327733,1,2189.1945,"TLE4",-0.708582780324076,0,0,0,0,3,0,"TLE4","ENSG00000106829"
"4020","ENST00000295598",523,530,8,"*","8mer",-5548,0,"-",TRUE,"ATP1A1","ENSG00000163399.16",-1.07327313108471,3.70470020500647,2.31069237311405,0.128486806484171,1,3553.0875,"ATP1A1",-0.551023626652905,0,0,0,0,1,0,"ATP1A1","ENSG00000163399"
"5435","ENST00000313708",4216,4223,8,"*","8mer",-5548,0,"-",FALSE,"EBF1","ENSG00000164330.17",1.38612042163143,2.83030846936862,1.27553938230213,0.258730062056706,1,4439.29,"EBF1",-1.27510046947166,1,1,0,0,0,0,"EBF1","ENSG00000164330"
"10707","ENST00000369496",430,437,8,"*","8mer",-5548,0,"-",TRUE,"ATP1A1","ENSG00000163399.16",4.16184303635703,3.07034680673644,1.01633678943533,0.313389511683553,1,3459.1765,"ATP1A1",-0.551023626652905,0,0,0,0,1,0,"ATP1A1","ENSG00000163399"
"12277","ENST00000376552",739,746,8,"*","8mer",-5548,0,"-",TRUE,"TLE4","ENSG00000106829.20",0.148094685171646,4.0254372875064,0.773285780539699,0.379202485315235,1,4186.855,"TLE4",-0.708582780324076,0,0,0,0,3,0,"TLE4","ENSG00000106829"
"13875","ENST00000392825",3770,3777,8,"*","8mer",-5548,0,"-",FALSE,"GALNT13","ENSG00000144278.15",-0.116482599397576,5.31878611523925,0.673827174927098,0.411720453378904,1,4544.0015,"GALNT13",-1.39033174456287,1,0,1,0,1,0,"GALNT13","ENSG00000144278"
"14090","ENST00000394030",1608,1615,8,"*","8mer",-5548,0,"-",TRUE,"CBLB","ENSG00000114423.23",0.879026284358619,1.99459119606677,3.26024226882281,0.0709786390816403,1,5913.494,"CBLB",-0.921315497747792,0,1,0,0,2,0,"CBLB","ENSG00000114423"
"15061","ENST00000398637",2997,3004,8,"*","8mer",-5548,0,"-",FALSE,"SLC38A1","ENSG00000111371.16",0.0153101323779636,5.39642422192603,0.0183925608412956,0.892122345427298,1,7204.777,"SLC38A1",-1.22576316703055,1,0,1,0,0,0,"SLC38A1","ENSG00000111371"
"17430","ENST00000428713",694,701,8,"*","8mer",-5548,0,"-",TRUE,"TLE4","ENSG00000106829.20",-0.340936086395527,1.84620483318588,0.529942169612674,0.466631173590455,1,690.768,"TLE4",-0.708582780324076,0,0,0,0,3,0,"TLE4","ENSG00000106829"
"22814","ENST00000541887",493,500,8,"*","8mer",-5548,0,"-",TRUE,"ANAPC5","ENSG00000089053.13",0.341964375743505,3.63677281078068,0.163165668159873,0.68625853004794,1,2181.3455,"ANAPC5",-0.551023626652905,0,0,0,0,1,0,"ANAPC5","ENSG00000089053"
"26187","ENST00000615911",3022,3029,8,"*","8mer",-5548,0,"-",FALSE,"MED29","ENSG00000063322.15",-0.0806753927124867,6.45885541820632,1.52526493019019,0.216824487709047,1,3388.233,"MED29",-1.24355355721114,1,0,1,0,0,0,"MED29","ENSG00000063322"
"26747","ENST00000622875",3664,3671,8,"*","8mer",-5548,0,"-",FALSE,"EBF1","ENSG00000164330.17",-0.126994794750228,4.51332795145158,0.153853430192367,0.694879749590634,1,3456.886,"EBF1",-1.27510046947166,1,1,0,0,0,0,"EBF1","ENSG00000164330"
"2149","ENST00000262848",2453,2460,8,"*","8mer",-5489,0,"-",FALSE,"PRKX","ENSG00000183943.6",0.22890559621959,4.7987444689247,4.34895921781285,0.0370315704158621,0.922685803725353,5494.4065,"PRKX",-1.51835768300409,1,1,1,0,0,0,"PRKX","ENSG00000183943"
"9023","ENST00000357244",268,275,8,"*","8mer",-5489,0,"-",TRUE,"RC3H2","ENSG00000056586.16",-0.120453112440508,3.97548318545956,0.608965419919667,0.435177613929312,1,7477.1495,"RC3H2",-0.808503790719682,0,0,1,0,1,0,"RC3H2","ENSG00000056586"
"11568","ENST00000373204",7341,7348,8,"*","8mer",-5489,0,"-",FALSE,"AGO1","ENSG00000092847.14",-0.107619775119088,2.49024348286245,0.237504278750335,0.626014495558896,1,13542.154,"AGO1",-1.3828209545182,1,1,1,0,0,0,"AGO1","ENSG00000092847"
"12537","ENST00000377861",22647,22654,8,"*","8mer",-5489,0,"-",FALSE,"PCDH9","ENSG00000184226.15",-0.110641706123523,2.50155975884594,0.184555969938317,0.667486798028621,1,20124.474,"PCDH9",-1.99159339096892,1,3,3,0,0,0,"PCDH9","ENSG00000184226"
"12752","ENST00000378954",118,125,8,"*","8mer",-5489,0,"-",TRUE,"ATL2","ENSG00000119787.14",0.0564083921904352,2.42902993519522,0.0388205221390061,0.843804654611614,1,3091.295,"ATL2",-0.531178180123528,0,0,0,0,1,0,"ATL2","ENSG00000119787"
"15491","ENST00000402815",1618,1625,8,"*","8mer",-5489,0,"-",TRUE,"DGKB","ENSG00000136267.14",-0.565077915449757,3.60277119786101,3.04326338252347,0.0810727836803807,1,5600.6045,"DGKB",-0.949396340765072,0,1,1,0,1,0,"DGKB","ENSG00000136267"
"15573","ENST00000403951",1621,1628,8,"*","8mer",-5489,0,"-",TRUE,"DGKB","ENSG00000136267.14",0.686679579764323,3.5590666993669,0.615055292325561,0.432890727626477,1,5673.8325,"DGKB",-0.949396340765072,0,1,1,0,1,0,"DGKB","ENSG00000136267"
"17023","ENST00000423239",268,275,8,"*","8mer",-5489,0,"-",TRUE,"RC3H2","ENSG00000056586.16",-0.0924529298252227,4.56624923977384,0.307638772212695,0.579132756369441,1,3406.666,"RC3H2",-0.531178180123528,0,0,0,0,1,0,"RC3H2","ENSG00000056586"
"18295","ENST00000442592",1434,1441,8,"*","8mer",-5489,0,"-",FALSE,"MRPL27","ENSG00000108826.16",0.176982160893957,3.71197341343351,1.12097325626441,0.289708983197766,1,1980.7255,"MRPL27",-1.22112943941981,1,1,0,0,0,0,"MRPL27","ENSG00000108826"
"25634","ENST00000609438",4561,4568,8,"*","8mer",-5489,0,"-",FALSE,"GPRIN3","ENSG00000185477.5",-0.0317995568883036,4.07745110332369,0.0474081811805691,0.827636216347803,1,11593.82,"GPRIN3",-1.9715894882135,2,1,0,0,0,0,"GPRIN3","ENSG00000185477"
"2444","ENST00000264501",4450,4457,8,"*","8mer",-5483,3,"-",TRUE,"KIAA1109","ENSG00000138688.17",0.437396424408612,2.12876333923927,0.300182964613134,0.58376774113538,1,15128.6615,"KIAA1109",-0.733880776102348,0,0,0,0,4,0,"KIAA1109","ENSG00000138688"
"3414","ENST00000281631",3950,3957,8,"*","8mer",-5483,3,"-",FALSE,"PARP8","ENSG00000151883.19",-0.159803167886835,1.80450844056502,0.179384673771819,0.67190257625833,1,5452.851,"PARP8",-1.12714302511556,1,0,0,0,0,0,"PARP8","ENSG00000151883"
"4209","ENST00000297290",619,626,8,"*","8mer",-5483,0,"-",FALSE,"BRI3","ENSG00000164713.10",-0.367778935937142,3.1430629678633,1.81985731945206,0.177330261345455,1,438.7485,"BRI3",-1.08733936024714,1,0,0,0,0,0,"BRI3","ENSG00000164713"
"4509","ENST00000301364",129,136,8,"*","8mer",-5483,0,"-",TRUE,"TSR1","ENSG00000167721.11",-0.189885400662683,4.26193651821473,1.88035862615687,0.170293393136679,1,4065.108,"TSR1",-0.745501870354651,0,0,1,0,2,0,"TSR1","ENSG00000167721"
"6481","ENST00000328086",1218,1225,8,"*","8mer",-5483,0,"-",TRUE,"ZKSCAN2","ENSG00000155592.16",-0.102469038024452,2.74312379140491,0.305138011206676,0.58067913494605,1,7170.771,"ZKSCAN2",-1.64074374485038,1,1,1,0,5,0,"ZKSCAN2","ENSG00000155592"
"11254","ENST00000371959",4607,4614,8,"*","8mer",-5483,0,"-",FALSE,"AMOT","ENSG00000126016.17",-0.0952138301324219,2.07813505377812,0.142723499592797,0.705588357637201,1,7316.5145,"AMOT",-1.18096685198203,1,0,0,0,2,0,"AMOT","ENSG00000126016"
"20990","ENST00000511313",3702,3709,8,"*","8mer",-5483,0,"-",FALSE,"POLR2J3","ENSG00000285437.2",-0.0805985364594718,3.54782377164626,0.109852143055535,0.740312531630507,1,4082.126,"POLR2J3",-1.65206053593843,2,0,0,0,0,0,"POLR2J3","ENSG00000285437"
"21257","ENST00000517311",2507,2514,8,"*","8mer",-5483,0,"-",FALSE,"ENY2","ENSG00000120533.13",-0.0579882815933199,3.53595142093669,0.156770608480952,0.692147312001364,1,2294.788,"ENY2",-1.24187441540172,1,1,0,0,0,0,"ENY2","ENSG00000120533"
"21556","ENST00000521688",2462,2469,8,"*","8mer",-5483,0,"-",FALSE,"ENY2","ENSG00000120533.13",-0.101608696563131,6.1904144097143,0.971101278065705,0.324405676845927,1,2248.098,"ENY2",-1.24187441540172,1,1,0,0,0,0,"ENY2","ENSG00000120533"
"28902","ENST00000665913",2770,2777,8,"*","8mer",-5483,0,"-",FALSE,"SOCS7","ENSG00000274211.6",0.140878081632642,3.02571654322946,0.348008345150894,0.555242728561099,1,7748.1575,"SOCS7",-1.58317546403605,1,1,3,0,0,0,"SOCS7","ENSG00000274211"
"4440","ENST00000300571",1927,1934,8,"*","8mer",-5467,0,"-",FALSE,"GPRC5B","ENSG00000167191.12",-0.382669282139461,1.78340956006993,1.18172837550048,0.277004413373591,1,4849.403,"GPRC5B",-1.16496193442287,1,0,1,0,0,0,"GPRC5B","ENSG00000167191"
"4560","ENST00000302174",2269,2276,8,"*","8mer",-5467,0,"-",FALSE,"NUDT9","ENSG00000170502.13",0.0684884326407424,5.08199202883649,0.45997573896754,0.497635311818006,1,2315.8595,"NUDT9",-1.22064736515788,1,0,0,0,1,0,"NUDT9","ENSG00000170502"
"7309","ENST00000337623",3231,3238,8,"*","8mer",-5467,0,"-",TRUE,"EDRF1","ENSG00000107938.18",-0.0968377810561684,2.80626691996366,0.194251715921713,0.659401261008925,1,3973.2695,"EDRF1",-0.569690423282427,0,0,0,0,2,0,"EDRF1","ENSG00000107938"
"8510","ENST00000354340",991,998,8,"*","8mer",-5467,0,"-",TRUE,"ZNF112","ENSG00000062370.17",-0.00725909644222194,2.46116896370974,0.00109713920971144,0.973576428266006,1,3136.7165,"ZNF112",-0.776515723524625,0,0,0,0,4,0,"ZNF112","ENSG00000062370"
"9602","ENST00000360570",382,389,8,"*","8mer",-5467,0,"-",TRUE,"FAIM","ENSG00000158234.13",0.287481015071763,4.70107268379525,4.87806770605211,0.0272000523676307,0.813661662858952,669.661,"FAIM",-0.523854994062224,0,0,0,0,1,0,"FAIM","ENSG00000158234"
"10881","ENST00000370205",2384,2391,8,"*","8mer",-5467,0,"-",FALSE,"ALG14","ENSG00000172339.10",-0.0025176484056014,4.37760560841779,0.00047029453336922,0.982698211979014,1,8741.528,"ALG14",-1.3109818234943,1,1,1,0,0,0,"ALG14","ENSG00000172339"
"11983","ENST00000374874",1904,1911,8,"*","8mer",-5467,3,"-",FALSE,"PLPPR1","ENSG00000148123.15",0.000864179557746866,7.91350603862037,2.36827978454812e-05,0.99611711211175,1,1932.819,"PLPPR1",-1.29300428652716,1,0,0,0,1,0,"PLPPR1","ENSG00000148123"
"12206","ENST00000376091",6240,6247,8,"*","8mer",-5467,0,"-",FALSE,"CLCN5","ENSG00000171365.17",0.292086408702188,2.95224766646308,0.131454398682198,0.716928809220383,1,9327.481,"CLCN5",-1.45278711346766,1,0,2,0,1,0,"CLCN5","ENSG00000171365"
"13926","ENST00000393035",316,323,8,"*","8mer",-5467,0,"-",TRUE,"FAIM","ENSG00000158234.13",-0.123151416959547,1.72277418842829,0.056300404199817,0.81244185583308,1,525.384,"FAIM",-0.523854994062224,0,0,0,0,1,0,"FAIM","ENSG00000158234"
"24218","ENST00000569479",1927,1934,8,"*","8mer",-5467,0,"-",FALSE,"GPRC5B","ENSG00000167191.12",0.170267715903995,3.09375543563095,0.408747153380048,0.522606086680667,1,2767.006,"GPRC5B",-1.08299687196533,1,0,0,0,0,0,"GPRC5B","ENSG00000167191"
"13194","ENST00000381337",1526,1533,8,"*","8mer",-5445,0,"-",FALSE,"THUMPD1","ENSG00000066654.14",0.163674308493586,2.72636074337733,0.354541875529184,0.551553276617563,1,3401.9195,"THUMPD1",-1.18818280798075,1,0,1,0,0,0,"THUMPD1","ENSG00000066654"
"14581","ENST00000396083",2027,2034,8,"*","8mer",-5445,0,"-",FALSE,"THUMPD1","ENSG00000066654.14",0.148505268432267,4.51950265343226,1.65319951718612,0.198524018552067,1,3618.77,"THUMPD1",-1.18818280798075,1,0,1,0,0,0,"THUMPD1","ENSG00000066654"
"29339","ENST00000674632",3344,3351,8,"*","8mer",-5445,0,"-",FALSE,"KIF2A","ENSG00000068796.19",-0.0620648405504475,5.17011163477512,0.327469960901217,0.567152678268704,1,6186.942,"KIF2A",-1.17506311576876,1,0,1,0,0,0,"KIF2A","ENSG00000068796"
"1974","ENST00000262133",3552,3559,8,"*","8mer",-5440,3,"-",FALSE,"RBL2","ENSG00000103479.17",-0.0834885944563974,2.28925189170614,0.0730626288025507,0.78692869865393,1,4245.438,"RBL2",-1.17229945195093,1,0,0,0,1,0,"RBL2","ENSG00000103479"
"2453","ENST00000264607",5050,5057,8,"*","8mer",-5440,0,"-",FALSE,"ASB1","ENSG00000065802.12",0.017489843301724,2.69708252004448,0.00505809731637985,0.943302010648697,1,6794.5735,"ASB1",-1.39573818262337,1,1,0,0,1,0,"ASB1","ENSG00000065802"
"4077","ENST00000295959",1492,1499,8,"*","8mer",-5440,5,"-",FALSE,"RPP14","ENSG00000163684.12",0.111032649160797,2.43625843985213,0.228725724653781,0.632470298319517,1,2907.525,"RPP14",-1.50717120540634,1,1,1,0,0,0,"RPP14","ENSG00000163684"
"4504","ENST00000301318",3060,3067,8,"*","8mer",-5440,0,"-",FALSE,"ZFP28","ENSG00000196867.8",0.0926684264535677,2.98904344363517,0.205478716501404,0.650334458923837,1,3554.8225,"ZFP28",-1.35065577680855,1,0,1,0,1,0,"ZFP28","ENSG00000196867"
"5534","ENST00000315249",1677,1684,8,"*","8mer",-5440,0,"-",FALSE,"RFFL","ENSG00000092871.17",1.05824290734778,2.08116167562694,0.25632008037979,0.61265965610909,1,7116.694,"RFFL",-1.83247428511715,2,0,2,0,1,0,"RFFL","ENSG00000092871"
"5839","ENST00000319331",4059,4066,8,"*","8mer",-5440,0,"-",FALSE,"LRRN1","ENSG00000175928.6",-0.12452638215642,4.52012747361903,0.356567243228454,0.550418909337699,1,5076.9125,"LRRN1",-1.10186978858217,1,0,0,0,1,0,"LRRN1","ENSG00000175928"
"6314","ENST00000325590",295,302,8,"*","8mer",-5440,0,"-",TRUE,"AMPH","ENSG00000078053.17",-0.901036502085095,2.40369345033116,6.7960705187049,0.00913587258751063,0.524584415897557,2946.6865,"AMPH",-0.514927401204717,0,0,0,0,1,0,"AMPH","ENSG00000078053"
"8826","ENST00000356264",295,302,8,"*","8mer",-5440,0,"-",TRUE,"AMPH","ENSG00000078053.17",0.264182556300326,4.33897667558963,2.54569530817315,0.110595214361101,1,3027.789,"AMPH",-0.514927401204717,0,0,0,0,1,0,"AMPH","ENSG00000078053"
"9768","ENST00000361371",2224,2231,8,"*","8mer",-5440,0,"-",TRUE,"LTN1","ENSG00000198862.14",-0.0423857010620611,2.66933995370884,0.0487249023296514,0.825297080519994,1,6183.7415,"LTN1",-1.30793910219583,1,0,0,0,4,0,"LTN1","ENSG00000198862"
"13247","ENST00000381719",3368,3375,8,"*","8mer",-5440,0,"-",FALSE,"FKBP1A","ENSG00000088832.18",0.0588067395834245,3.69385323757589,0.126894005693876,0.721674430622899,1,3314.351,"FKBP1A",-1.07559278357623,1,0,0,0,0,0,"FKBP1A","ENSG00000088832"
"13608","ENST00000389887",775,782,8,"*","8mer",-5440,0,"-",TRUE,"GLB1L3","ENSG00000166105.16",0.301777454160203,2.68146881428327,1.77181779523623,0.183157272477108,1,2864.692,"GLB1L3",-0.544821089672027,0,0,0,0,2,0,"GLB1L3","ENSG00000166105"
"14275","ENST00000394670",6656,6663,8,"*","8mer",-5440,0,"-",FALSE,"ZNF207","ENSG00000010244.19",0.0585901266067749,2.00392331399167,0.0388497003967201,0.843746721852155,1,10755.7565,"ZNF207",-1.42704969989997,1,1,0,0,0,0,"ZNF207","ENSG00000010244"
"14497","ENST00000395675",5361,5368,8,"*","8mer",-5440,0,"-",FALSE,"FOXO3B","ENSG00000240445.6",0.00951040557308551,2.26452683242901,0.0015719563635912,0.968373834848007,1,5325.734,"FOXO3B",-1.45108234123107,1,2,1,0,0,0,"FOXO3B","ENSG00000240445"
"14693","ENST00000396668",8397,8404,8,"*","8mer",-5440,0,"-",FALSE,"TMEM106B","ENSG00000106460.19",0.039219772725715,4.07638343202102,0.0753294048008089,0.783729580841317,1,8482.661,"TMEM106B",-1.45941250602909,1,0,3,0,0,0,"TMEM106B","ENSG00000106460"
"15266","ENST00000400137",1365,1372,8,"*","8mer",-5440,0,"-",FALSE,"FKBP1A","ENSG00000088832.18",-0.101832276544472,5.52545898982995,0.855105349072971,0.355112059799371,1,1201.0715,"FKBP1A",-1.07559278357623,1,0,0,0,0,0,"FKBP1A","ENSG00000088832"
"17024","ENST00000423335",874,881,8,"*","8mer",-5440,5,"-",FALSE,"SHISA9","ENSG00000237515.9",-0.290953907155324,3.26383734762467,0.977227641614981,0.322884216559841,1,3443.037,"SHISA9",-1.14164955443462,1,0,0,0,0,0,"SHISA9","ENSG00000237515"
"18452","ENST00000445193",1492,1499,8,"*","8mer",-5440,5,"-",FALSE,"RPP14","ENSG00000163684.12",0.140837295756106,1.74265687873169,0.174945481849893,0.675753488635096,1,7466.4885,"RPP14",-1.50717120540634,1,1,1,0,0,0,"RPP14","ENSG00000163684"
"19438","ENST00000461393",1000,1007,8,"*","8mer",-5440,5,"-",FALSE,"HTD2","ENSG00000255154.9",-0.530229165750985,1.93140221841206,3.10954279991521,0.07783480654185,1,2762.1405,"HTD2",-1.50717120540634,1,1,1,0,0,0,"HTD2","ENSG00000255154"
"20119","ENST00000486040",1124,1131,8,"*","8mer",-5440,0,"-",FALSE,"MRM2","ENSG00000122687.19",-0.220230636289763,3.10318809275684,0.653029169040297,0.419031750044137,1,2316.596,"MRM2",-1.29563439354482,1,1,0,0,0,0,"MRM2","ENSG00000122687"
"24966","ENST00000591340",832,839,8,"*","8mer",-5440,0,"-",TRUE,"ZNF529","ENSG00000186020.13",-0.303264285252769,1.68701569356269,0.370941054405209,0.542491759220821,1,3791.1515,"ZNF529",-1.81599393303366,0,1,1,0,8,0,"ZNF529","ENSG00000186020"
"26303","ENST00000617270",6250,6257,8,"*","8mer",-5440,0,"-",FALSE,"RFX3","ENSG00000080298.16",-0.221858577243105,2.64057779565096,0.519563767629997,0.471027825628337,1,7130.1555,"RFX3",-1.80953719231236,1,2,1,0,0,0,"RFX3","ENSG00000080298"
