"","miRNA","Sequences","Columns","Reading.direction","Mean.pairwise.identity","Shannon.entropy","G+C.content","Mean.single.sequence.MFE","Consensus.MFE","Energy.contribution","Covariance.contribution","Combinations/Pair","Mean.z-score","Structure.conservation.index","Background.model","Decision.model","SVM.decision.value","SVM.RNA-class.probability","Prediction","org","ID","min_exp","max_exp","mean_exp","median_exp","expressed","seed_mismatch"
"31","hsa-mir-3180-2",2,88,"forward",98.86,0.01136,0.77841,-60.9,-60.1,-60.1,0,1,-4.86,0.99,"dinucleotide","sequence based alignment quality",3.43,0.998645,"RNA","panTro6","hsa-miR-3180-3p",1.55,4.2,2.46333333333333,2.36,TRUE,FALSE
"32","hsa-mir-3180-3",2,94,"forward",98.94,0.01064,0.76064,-62.1,-61.3,-61.3,0,1,-4.77,0.99,"dinucleotide","sequence based alignment quality",3.44,0.998659,"RNA","panTro6","hsa-miR-3180-3p",1.55,4.2,2.46333333333333,2.36,TRUE,FALSE
"33","hsa-mir-3195",2,84,"forward",98.81,0.0119,0.93452,-58.35,-58,-58,0,1,1.43,0.99,"dinucleotide","sequence based alignment quality",-4.13,0.000341,"OTHER","gorGor6","hsa-miR-3195",1.89,5.05,3.38714285714286,3.26,TRUE,FALSE
"34","hsa-mir-3196",2,64,"forward",98.44,0.01562,0.74219,-35.95,-35.95,-35.95,0,1,-0.54,1,"dinucleotide","sequence based alignment quality",-0.42,0.302401,"OTHER","ponAbe3","hsa-miR-3196",0,4.12,2.11666666666667,2,TRUE,FALSE
"35","hsa-mir-3605",2,100,"forward",98,0.02,0.55,-28.71,-28.96,-29.46,0.5,1,-0.04,1.01,"dinucleotide","sequence based alignment quality",-1.14,0.097247,"OTHER","ponAbe3","hsa-miR-3605-3p",2.26,5.04,4.06761904761905,4.35,TRUE,FALSE
"36","hsa-mir-3615",2,87,"forward",98.85,0.01149,0.73563,-45.3,-44.8,-44.8,0,1,-1.3,0.99,"dinucleotide","sequence based alignment quality",0.69,0.788191,"RNA","panTro6","hsa-miR-3615",2.98,4.51,3.87761904761905,4.04,TRUE,FALSE
"37","hsa-mir-3691",2,90,"forward",98.89,0.01111,0.57222,-62.5,-62.75,-62.5,-0.25,1.03,-8.41,1,"dinucleotide","sequence based alignment quality",1.41,0.936561,"RNA","gorGor6","hsa-miR-3691-5p",0,4.09,2.27428571428571,2.17,TRUE,FALSE
"38","hsa-mir-3909",2,119,"forward",96.64,0.03361,0.60504,-59.78,-59.33,-59.08,-0.25,1.02,-3.47,0.99,"dinucleotide","sequence based alignment quality",3.18,0.997813,"RNA","gorGor6","hsa-miR-3909",0,2.74,1.79047619047619,2.05,TRUE,FALSE
"39","hsa-mir-3938",2,103,"forward",93.2,0.06796,0.34793,-53.2,-52,-53.75,1.75,1.02,-10.41,0.98,"dinucleotide","sequence based alignment quality",1.48,0.944503,"RNA","gorGor6","hsa-miR-3938",1.97,3.83,2.97190476190476,3.09,TRUE,FALSE
"40","hsa-mir-3960",2,91,"forward",95.6,0.04396,0.89011,-69.65,-70.35,-69.6,-0.75,1.08,-2.02,1.01,"dinucleotide","sequence based alignment quality",2.06,0.98104,"RNA","gorGor6","hsa-miR-3960",0,4.01,1.71880952380952,1.13,TRUE,FALSE
"41","hsa-mir-4326",2,59,"forward",98.31,0.01695,0.63559,-23.2,-23.45,-23.2,-0.25,1.05,-0.18,1.01,"dinucleotide","sequence based alignment quality",-0.9,0.146159,"OTHER","panTro6","hsa-miR-4326",0,3.89,2.4747619047619,2.53,TRUE,FALSE
"42","hsa-mir-4448",2,86,"forward",97.67,0.02326,0.55233,-34.35,-33.85,-34.35,0.5,1,-2.33,0.99,"dinucleotide","sequence based alignment quality",2.16,0.984387,"RNA","ponAbe3","hsa-miR-4448",3.98,7.09,5.6747619047619,5.85,TRUE,FALSE
"43","hsa-mir-4449",2,66,"forward",96.97,0.0303,0.85606,-45.55,-45.8,-45.55,-0.25,1.04,-1.68,1.01,"dinucleotide","sequence based alignment quality",1.57,0.952633,"RNA","gorGor6","hsa-miR-4449",0,3.74,1.52571428571429,1.52,TRUE,FALSE
"44","hsa-mir-4485",2,57,"forward",96.49,0.03509,0.62845,-16.5,-16.1,-16.1,0,1,0.22,0.98,"dinucleotide","sequence based alignment quality",-2.03,0.018971,"OTHER","gorGor6","hsa-miR-4485-3p",2.77,6.18,4.64619047619048,4.44,TRUE,FALSE
"45","hsa-mir-4497",2,89,"forward",98.88,0.01124,0.83708,-59.9,-59.9,-59.9,0,1,-2.26,1,"dinucleotide","sequence based alignment quality",2.13,0.983428,"RNA","gorGor6","hsa-miR-4497",2.43,5.88,4.12571428571429,4.18,TRUE,FALSE
"46","hsa-mir-449a",2,91,"forward",97.8,0.02198,0.4254,-39.35,-39.6,-39.35,-0.25,1.03,-5.13,1.01,"dinucleotide","sequence based alignment quality",3.42,0.998604,"RNA","calJac3","hsa-miR-449a",0,2.7,1.3672380952381,1.64,TRUE,FALSE
"47","hsa-mir-449c",2,92,"forward",97.83,0.02174,0.45652,-45.25,-45.5,-45.25,-0.25,1.03,-6.66,1.01,"dinucleotide","sequence based alignment quality",2.59,0.993193,"RNA","gorGor6","hsa-miR-449c-5p",0,3.38,1.54161904761905,1.52,TRUE,FALSE
"48","hsa-mir-4791",2,84,"forward",97.62,0.02381,0.34524,-26.15,-26.4,-25.9,-0.5,1.04,-4.02,1.01,"dinucleotide","sequence based alignment quality",3.46,0.998723,"RNA","ponAbe3","hsa-miR-4791",1.95,4.75,3.10142857142857,3.22,TRUE,FALSE
"49","hsa-mir-5002",2,97,"forward",92.78,0.07216,0.47883,-34.1,-33.1,-34.1,1,1,-2.74,0.97,"dinucleotide","sequence based alignment quality",2.61,0.993404,"RNA","macFas5","hsa-miR-5002-5p",0,3.05,2.27190476190476,2.74,TRUE,FALSE
"50","hsa-mir-5100",2,119,"forward",99.16,0.0084,0.61765,-47.7,-47.7,-47.7,0,1,0.5,1,"dinucleotide","sequence based alignment quality",-2.32,0.010968,"OTHER","panTro6","hsa-miR-5100",2.56,4.25,3.54904761904762,3.66,TRUE,FALSE
"51","hsa-mir-512-1",2,84,"forward",97.62,0.02381,0.52381,-45.5,-45.4,-45.15,-0.25,1.04,-5.95,1,"dinucleotide","sequence based alignment quality",3.08,0.997334,"RNA","gorGor6","hsa-miR-512-3p",1.13,6.66,2.71666666666667,1.99,TRUE,FALSE
"52","hsa-mir-512-2",2,98,"forward",97.96,0.02041,0.54082,-48.6,-48.5,-48.25,-0.25,1.03,-4.72,1,"dinucleotide","sequence based alignment quality",3.48,0.998763,"RNA","gorGor6","hsa-miR-512-3p",1.13,6.66,2.71666666666667,1.99,TRUE,FALSE
"53","hsa-mir-516b-2",2,90,"forward",93.33,0.06667,0.40033,-39.05,-35.4,-37.9,2.5,1,-5.95,0.91,"dinucleotide","sequence based alignment quality",3.3,0.998262,"RNA","ponAbe3","hsa-miR-516b-5p",0,6.07,2.61761904761905,2.43,TRUE,FALSE
"54","hsa-mir-517c",2,96,"forward",92.71,0.07292,0.42329,-40.36,-40.35,-41.35,1,1,-6.87,1,"dinucleotide","sequence based alignment quality",2.47,0.991421,"RNA","gorGor6","hsa-miR-517-5p",0,4.37,0.805333333333333,0,TRUE,FALSE
"55","hsa-mir-518a-1",2,87,"forward",90.8,0.09195,0.47093,-49.7,-47.7,-49.95,2.25,1.03,-8.45,0.96,"dinucleotide","sequence based alignment quality",1.56,0.952215,"RNA","gorGor6","hsa-miR-518a-3p",0,4.25,0.932380952380952,0.468,TRUE,FALSE
"56","hsa-mir-518a-2",2,87,"forward",95.4,0.04598,0.46552,-49,-48.95,-48.45,-0.5,1.06,-8.18,1,"dinucleotide","sequence based alignment quality",1.4,0.9355,"RNA","panTro6","hsa-miR-518a-3p",0,4.25,0.932380952380952,0.468,TRUE,FALSE
"57","hsa-mir-520a",2,85,"forward",96.47,0.03529,0.47647,-47.4,-47.65,-47.4,-0.25,1.03,-7.85,1.01,"dinucleotide","sequence based alignment quality",1.62,0.956879,"RNA","macFas5","hsa-miR-520a-3p",0,4.65,1.7152380952381,1.63,TRUE,FALSE
"58","hsa-mir-526b",2,83,"forward",98.8,0.01205,0.45181,-46.4,-45.85,-45.85,0,1,-7.71,0.99,"dinucleotide","sequence based alignment quality",1.82,0.970622,"RNA","gorGor6","hsa-miR-526b-5p",0,5.14,0.913666666666667,0.449,TRUE,FALSE
"59","hsa-mir-548g",2,89,"forward",98.88,0.01124,0.29775,-28.92,-28.62,-29.12,0.5,1,-5.77,0.99,"dinucleotide","sequence based alignment quality",3.17,0.997746,"RNA","gorGor6","hsa-miR-548g-3p",1.1,6.27,3.88857142857143,3.81,TRUE,FALSE
"60","hsa-mir-548o",2,114,"forward",98.25,0.01754,0.35088,-22.05,-22.4,-21.9,-0.5,1.06,-0.32,1.02,"dinucleotide","sequence based alignment quality",-0.51,0.270055,"OTHER","panTro6","hsa-miR-548o-3p",1.5,3.29,2.24047619047619,2.23,TRUE,FALSE
"61","hsa-mir-550a-2",2,97,"forward",95.88,0.04124,0.53608,-51.6,-51.85,-51.6,-0.25,1.03,-5.85,1,"dinucleotide","sequence based alignment quality",3.15,0.997681,"RNA","macFas5","hsa-miR-550a-5p",0.958,4.37,2.40085714285714,2.3,TRUE,FALSE
"62","hsa-mir-551b",2,96,"forward",96.88,0.03125,0.53405,-40.35,-40.6,-40.35,-0.25,1.03,-3.54,1.01,"dinucleotide","sequence based alignment quality",3.32,0.998308,"RNA","macFas5","hsa-miR-551b-3p",0,5.13,3.74952380952381,4.18,TRUE,FALSE
"63","hsa-mir-5701-1",2,82,"forward",98.78,0.0122,0.37805,-34.27,-34.05,-34.55,0.5,1,-7.39,0.99,"dinucleotide","sequence based alignment quality",2.09,0.982158,"RNA","panTro6","hsa-miR-5701",2.2,6.49,3.50380952380952,3.14,TRUE,FALSE
"64","hsa-mir-5701-2",2,82,"forward",98.78,0.0122,0.37805,-34.27,-34.05,-34.55,0.5,1,-7.39,0.99,"dinucleotide","sequence based alignment quality",2.09,0.982158,"RNA","panTro6","hsa-miR-5701",2.2,6.49,3.50380952380952,3.14,TRUE,FALSE
"65","hsa-mir-5701-3",2,82,"forward",98.78,0.0122,0.37805,-34.27,-34.05,-34.55,0.5,1,-7.39,0.99,"dinucleotide","sequence based alignment quality",2.09,0.982158,"RNA","panTro6","hsa-miR-5701",2.2,6.49,3.50380952380952,3.14,TRUE,FALSE
"66","hsa-mir-589",2,99,"forward",98.99,0.0101,0.63131,-42.3,-42.55,-42.3,-0.25,1.03,-3.11,1.01,"dinucleotide","sequence based alignment quality",3,0.996887,"RNA","gorGor6","hsa-miR-589-5p",2.74,5.82,4.22095238095238,4.32,TRUE,FALSE
"67","hsa-mir-618",2,98,"forward",98.98,0.0102,0.46429,-36.45,-35.55,-36.05,0.5,1,-3.19,0.98,"dinucleotide","sequence based alignment quality",2.85,0.995886,"RNA","panTro6","hsa-miR-618",1.12,3.23,2.68380952380952,2.84,TRUE,FALSE
"68","hsa-mir-619",2,99,"forward",98.99,0.0101,0.57071,-31.2,-31.2,-31.2,0,1,-0.81,1,"dinucleotide","sequence based alignment quality",0.02,0.504476,"RNA","gorGor6","hsa-miR-619-5p",2.77,4.6,4.00952380952381,4.19,TRUE,FALSE
"69","hsa-mir-641",5,99,"forward",94.44,0.09909,0.48353,-61.74,-61.69,-61.25,-0.44,1.08,-10.51,1,"dinucleotide","sequence based alignment quality",1.35,0.929755,"RNA","all","hsa-miR-641",1.1,3.83,2.5052380952381,2.53,TRUE,FALSE
"70","hsa-mir-6716",4,80,"forward",90.73,0.14197,0.59014,-28.93,-26.21,-26.28,0.06,1.05,-0.61,0.91,"dinucleotide","sequence based alignment quality",-0.94,0.138757,"OTHER","all","hsa-miR-6716-3p",0,2.94,1.80342857142857,2.12,TRUE,FALSE
"71","hsa-mir-7706",2,67,"forward",97.01,0.02985,0.73134,-29.45,-29.15,-28.9,-0.25,1.05,0.33,0.99,"dinucleotide","sequence based alignment quality",-2.1,0.016762,"OTHER","gorGor6","hsa-miR-7706",3.65,5.63,4.61380952380952,4.54,TRUE,FALSE
"72","hsa-mir-891a",4,79,"forward",98.73,0.02054,0.42405,-33.49,-33.87,-33.49,-0.38,1.08,-5.9,1.01,"dinucleotide","sequence based alignment quality",3.09,0.997371,"RNA","all","hsa-miR-891a-5p",0,4.74,3.47809523809524,4.06,TRUE,FALSE
"73","hsa-mir-9-3",2,90,"forward",98.89,0.01111,0.45,-41.1,-41.1,-41.1,0,1,-6.88,1,"dinucleotide","sequence based alignment quality",2.45,0.991095,"RNA","bosTau9","hsa-miR-9-3p",0,3.18,2.09857142857143,2.29,TRUE,FALSE
"74","hsa-mir-937",2,86,"forward",98.84,0.01163,0.70349,-37.15,-36.6,-36.6,0,1,-0.29,0.99,"dinucleotide","sequence based alignment quality",-1.03,0.11815,"OTHER","panTro6","hsa-miR-937-3p",1.1,4.79,3.10142857142857,2.91,TRUE,FALSE
"75","hsa-mir-943",2,98,"forward",94.9,0.05102,0.67184,-44.3,-41.1,-41.35,0.25,1.03,-1.01,0.93,"dinucleotide","sequence based alignment quality",-0.4,0.312202,"OTHER","panTro6","hsa-miR-943",0,2.61,1.69619047619048,1.89,TRUE,FALSE
